2020,Type,Human_Broadleaf,,,,,,,,2020,Type,Nat_Broadleaf,,,,
40,3,0.718324429364928,0.6601955128253316,0.7304866377040085,0.78514155875208,0.0943303691136829,,,,40,3,0.7318473077651434,0.6836206789266812,0.7539307414687761,0.8085782931414974,0.10420912630578169
50,3,0.7296451606508749,0.6758158197105258,0.7461076178887494,0.8007625617453217,0.09211958391812174,,,,50,3,0.7368173424087825,0.6914227625725455,0.7617449950252945,0.8085722559407525,0.10147592805285256
60,3,0.7376099622522581,0.6836323597461725,0.7539277512922328,0.8007636511441948,0.09017830729566227,,,,60,3,0.7420562203742587,0.6992590494135125,0.7617609215635431,0.8085707300510498,0.09839262675108386
70,3,0.7451072593186882,0.6992654223462953,0.761746971074353,0.8085697811664092,0.08761959536784983,,,,70,3,0.7460450470555794,0.699263849390602,0.7695669866890267,0.8085578594816991,0.09574524335171908
80,3,0.7479863676649263,0.699267467615931,0.7617496102669524,0.8085701839203264,0.08750602709209762,,,,80,3,0.746291654194845,0.6992874073979992,0.7695702709397904,0.8085774066023427,0.09506940077384375
90,3,0.752314708488145,0.7070785549883242,0.7695598355448932,0.816374680939429,0.0853668786065532,,,,90,3,0.7501663496655502,0.7070895059202544,0.7695643051555628,0.8163485082873599,0.0926913918992016
100,3,0.7543647794854997,0.7070822330674483,0.7695675376295199,0.81637665301461,0.08513830884497435,,,,100,3,0.7501366523436076,0.7070935299211633,0.7695677799159713,0.8163452961202937,0.09222351896832232
110,3,0.7566978082962006,0.7149009831089148,0.7773719509678546,0.8163759187313621,0.08375882819844255,,,,110,3,0.7525886619751949,0.7071025449340169,0.7695763961781644,0.8163642018562041,0.09074365037208092
120,3,0.7578480679337516,0.7149013523764577,0.7773733795226246,0.8163799444245804,0.08372876691272214,,,,120,3,0.7527540061285493,0.707100660508192,0.7695559728416059,0.8163666275909308,0.09036839482224003
130,3,0.7593484028404064,0.7149034525670604,0.7773779858919465,0.8163809375047059,0.08268796505130689,,,,130,3,0.7534784527456876,0.7148930324797543,0.7695604370482814,0.8163626551711056,0.08947682770661443
140,3,0.7604321414390258,0.7227124288990995,0.7773744154617586,0.8163756857201585,0.082300855161397,,,,140,3,0.7551462539895984,0.7149133431231736,0.7773633019298545,0.8163692139800489,0.08871945592371441
150,3,0.7617808266151421,0.7227135422670643,0.777378227845884,0.8163811229382898,0.08146187872833549,,,,150,3,0.7557661809312748,0.7148966256199648,0.7773725939440087,0.8163590234134909,0.08759235759811274
160,3,0.7625872898422565,0.7227164882480107,0.7773781646977747,0.8163756874421234,0.080979238542736,,,,160,3,0.7566658784123921,0.7148988877498996,0.7773822976333679,0.8163557500568642,0.08729378832712902
