NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,distance,time,Collection Size
0.6739542383660692,0.5860057279576125,0.6796922180055941,0.7733866915403358,0.12815819757256683,10,2018,3051
0.6885150582719545,0.6016442416606408,0.6953263186765789,0.7890070646333842,0.12264129279634764,20,,
0.7023330043891854,0.6172709383347799,0.7109655244733908,0.7890221349143961,0.11830179536728332,30,,
0.7153906731892247,0.6329030885336374,0.7266016204556838,0.8046432307306325,0.1148275623341854,40,,
0.724774513429564,0.6485386017810315,0.742220163598999,0.8202514794742208,0.11231363771198614,50,,
0.7319835766837336,0.6641676116818491,0.742233799601081,0.8202667939549951,0.1108579089956806,60,,
0.7367713745997064,0.664172982641168,0.7578592431183587,0.8202784986681411,0.10975944859754093,70,,
0.7405165938303505,0.6641827192249046,0.7578626780602788,0.8202883098731214,0.10893575441012347,80,,
0.7440364907167435,0.6798017571416596,0.7578687188585507,0.8358818946222158,0.1082109224405398,90,,
0.7467144972976487,0.6798072829288621,0.7578753015011139,0.8358903271663791,0.10766838445124706,100,,
0.7490507654811599,0.6798128481494146,0.7735076025563378,0.8358975863685774,0.10719575374095532,110,,
0.7508733701219198,0.6798161095495872,0.7735131538478736,0.8359026869457904,0.10679159757378126,120,,
0.7526641677371941,0.6954388124336205,0.7735161542301666,0.8359067393361329,0.10631934293516286,130,,
0.7543598008967456,0.6954393184236434,0.7735213248009313,0.8359137470039815,0.10603463501745082,140,,
0.7558927095544792,0.695442788609362,0.7735233093113911,0.835918107978962,0.10559292318411913,150,,
0.7573530753968746,0.6954453778544835,0.7735260886818822,0.8359274594908203,0.10524946223546082,160,,
0.7586839610049088,0.6954439122588423,0.7735268576125801,0.8359296060462998,0.10480682995336117,170,,
0.7598954709469099,0.6954475446739609,0.7735297807161995,0.8359362285506297,0.10460511976790249,180,,
0.7611490177683825,0.6954533377851172,0.789141488548691,0.8359414568267722,0.10425788091909718,190,,
0.7622899848225091,0.6954505277090057,0.7891442779329361,0.8359429831268145,0.10388820703254423,200,,
0.7633891122397293,0.6954578390734243,0.7891489585279177,0.835950226667338,0.10361764933726143,210,,
0.76436966187004,0.7110776069951652,0.7891499837022317,0.8515178248316677,0.10329443709080181,220,,
0.7653538490915772,0.7110821581673696,0.7891523815252431,0.8515231499846148,0.10305544958322259,230,,
0.7662867164421663,0.7110781564940186,0.7891561201330448,0.8515273082745793,0.10277184375288624,240,,
0.7671909779934118,0.7110826018598192,0.789155496992823,0.8515315851057123,0.10246050366713427,250,,
0.7681033577284814,0.7110833578912716,0.789157436080966,0.8515359168975567,0.1021810216804577,260,,
0.7689266367528269,0.7110802720455107,0.7891601593300819,0.8515407059412218,0.10190635959006045,270,,
0.7697053932777398,0.7110813972129161,0.7891631229646645,0.8515438929286924,0.10167727969706815,280,,
0.7704562103067595,0.7110865592942726,0.7891612302302947,0.8515458925347213,0.10140931079046743,290,,
0.7711876834337122,0.7110854403818839,0.7891609316423193,0.8515504146320585,0.10117585148817325,300,,
0.7772972144123813,0.7267204907342174,0.8047921456838301,0.8515845565327708,0.09904706920774015,400,,
0.7818075248407698,0.7268098919783944,0.8049087002221922,0.8513836542617302,0.09747133016095809,500,,
0.7853991325942831,0.7267294753319936,0.8048050996448433,0.8516300220647125,0.09627726041164655,600,,
0.7883340747032298,0.7383259065802802,0.8086204838087276,0.8632903429117744,0.09539478882362379,700,,
0.7909257265190837,0.7383251185911885,0.8164384309302852,0.8632933449400513,0.09474963236068545,800,,
0.7933619921628838,0.7423532044739606,0.8204526982217889,0.8672384318551739,0.09428986868482665,900,,
0.795582105711266,0.7423672180618124,0.8204573003542396,0.8672613782144719,0.09385760779956173,1000,,
,,,,,,,
NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,distance,time,
0.6935009179865953,0.6289372870442951,0.7070468709800206,0.7695033182994607,0.10734221625600052,10,2019,59160
0.7085457963018518,0.6523843922128301,0.7226743623662306,0.777313474787158,0.09811124310293315,20,,
0.7215270908690533,0.6680170692844775,0.7382980695467962,0.785122182573628,0.09143733687116018,30,,
0.7328773088672593,0.6914586780585569,0.7461045968954053,0.7929311519959229,0.08617768142628394,40,,
0.7403023386460404,0.6992787362433966,0.7539181558710122,0.8007363370155802,0.08293845639613959,50,,
0.7458923965942854,0.7070970704354193,0.761736592773843,0.8007412244304203,0.08099278748400575,60,,
0.7495223920751165,0.7149104817985709,0.7617416720195826,0.8007449799144751,0.07962523482321551,70,,
0.7523463904883724,0.7149129466826367,0.7695472754830998,0.8085446619042247,0.07867911924198341,80,,
0.7550759117429244,0.7149155405098827,0.7695518016100125,0.8085463517059019,0.07774016866318811,90,,
0.75716787844345,0.7227287139061048,0.7695550382633096,0.8085483580698821,0.07710449723576704,100,,
0.7590235805571048,0.7227300862227144,0.7695581934777384,0.8085505839786719,0.07645595832285987,110,,
0.7604942832548955,0.7227319744638276,0.7773613416079128,0.8085526073271413,0.07593411383353217,120,,
0.7619634664353822,0.7305432588172222,0.7773634765536086,0.8163512279085955,0.07540679174145574,130,,
0.7634222913064621,0.7305445033212887,0.7773667924463776,0.8163527955920307,0.07495126916197108,140,,
0.764729481549967,0.7305476232684441,0.7773690764369262,0.8163539219980106,0.07441927149212967,150,,
0.7659926301065803,0.7305481734382641,0.777370487529774,0.8163545919970793,0.07389119133216202,160,,
0.767138019455332,0.7305502361299141,0.7773719544894754,0.8163566251245497,0.07336349902962402,170,,
0.7682474518034604,0.7383597591985411,0.7773747234118038,0.8163574229599729,0.07298910192872397,180,,
0.7693399933414947,0.7383607479570043,0.7851752961311694,0.8163581365481744,0.07247284509741257,190,,
0.7703730944522283,0.7383627317122979,0.7851765715440208,0.8163593656530551,0.07202579607787962,200,,
0.7713491238889412,0.738363553230021,0.7851788817097358,0.816360620537806,0.07157242061173687,210,,
0.7722644585595829,0.7383649923121947,0.785181510214481,0.8163622784022975,0.0711400333860315,220,,
0.7731760107046571,0.7383656952035296,0.7851832010047219,0.8241595787566856,0.07074462500236021,230,,
0.7740077773136147,0.7461628187745876,0.7851838228275989,0.82416082290698,0.07031200386228961,240,,
0.7748447658766421,0.7461634690984236,0.7851853852631548,0.8241603771107356,0.06990058385870351,250,,
0.7756768553541534,0.7461648857324841,0.7851868418354176,0.8241629988670808,0.06950045331602568,260,,
0.7764462435230366,0.7461663252073903,0.785186457802591,0.8241639289981034,0.06910257871810202,270,,
0.7771653704192324,0.7461676723999634,0.785189199011212,0.8241635464972422,0.06874615623748605,280,,
0.7778494533547317,0.746169409582649,0.7929876622443609,0.8241643681529167,0.06836431194331158,290,,
0.7785339902423384,0.7461694634577777,0.7929891179101067,0.8241648317469568,0.06801168837678807,300,,
0.7840137471679226,0.7539815192284404,0.7929997773445142,0.8241713341903053,0.06497455642708105,400,,
0.7877565570662225,0.7618037533898102,0.8008002818315318,0.8319684362550297,0.06273954987140568,500,,
0.7903779526066648,0.7618078854477862,0.8008058079029219,0.8319700449901811,0.06108408376540643,600,,
0.7921844833346336,0.7618115104370694,0.8008094466374523,0.8319740604380836,0.05990137698982315,700,,
0.7934323603325167,0.7696193989967551,0.8008112580880686,0.8319774895965536,0.05908228344747847,800,,
0.794379061962768,0.7696225546795346,0.8008158836250135,0.8319789301734049,0.0584863639242159,900,,
0.7949902820678919,0.7696190625830511,0.8008119823371963,0.8319830020495927,0.058203303481438935,1000,,
,,,,,,,
NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,distance,time,
0.697161643104331,0.628929974547863,0.7070415433606285,0.777328739108621,0.11057676476390725,10,2020,60237
0.7122599360288695,0.6523779856294007,0.7226707191430168,0.7851373822949697,0.10172148176596103,20,,
0.7254830423411336,0.6680108806175227,0.7382979024119323,0.7929461494463032,0.09530609736422743,30,,
0.7374417115423344,0.6836397123027564,0.753910224605206,0.8007570338348649,0.09024910333176313,40,,
0.7451704349553716,0.6992717628379357,0.7617337096975183,0.808561811778419,0.08695265547739746,50,,
0.7512659573096444,0.7070897074036476,0.7617416574438185,0.8085662027400732,0.0849532149945718,60,,
0.7551857190887848,0.7149039954166887,0.7695506856302237,0.8163697941348134,0.08350471624226068,70,,
0.7582167734619155,0.71490653353154,0.7695559796759323,0.816371511272383,0.08245987606847223,80,,
0.7612752125101847,0.7227211829403479,0.7773637507850887,0.816375086159219,0.0814270931515207,90,,
0.76356930445179,0.722722517993913,0.7773675585960783,0.8163764420445393,0.08067787336870651,100,,
0.7657125266981971,0.7305351144226039,0.7773719589604867,0.8241768110973597,0.07993765973706587,110,,
0.7673794638979025,0.7305381254858744,0.7851767096671173,0.824178832374733,0.07932610893471856,120,,
0.7689702869054491,0.7305403135205674,0.7851804179914413,0.8241780120890636,0.07866936303006412,130,,
0.7707186513803527,0.7383518770766495,0.7851834503640386,0.8241791053378899,0.07810317858434003,140,,
0.7721420221764528,0.7383537658362425,0.7851853452050641,0.824180584376918,0.07742702935404312,150,,
0.7736496344288938,0.7383551930000014,0.785186038938409,0.8241825876643905,0.07679006488730411,160,,
0.7748610844904996,0.7383577785838769,0.7851884923301364,0.8241834555205382,0.07614255859807534,170,,
0.7762087805653826,0.7383594057135491,0.7929921399777528,0.8241840636661152,0.07565856583900729,180,,
0.7774691523816492,0.7461570608894343,0.7929952376525681,0.8319790679131852,0.0750445675911064,190,,
0.7785531918406512,0.7461593152319956,0.7929957838107201,0.8319788834160262,0.07446939820239401,200,,
0.7797150514090475,0.7461600628643453,0.7929968364917616,0.8319787354957152,0.07392633719992674,210,,
0.7806729241509698,0.7461628517111711,0.7929980939423967,0.8319783951207723,0.07339368990037194,220,,
0.7817483130473094,0.7461626734053526,0.7930003930411768,0.8319793507047948,0.07290030565284394,230,,
0.7826895232040367,0.7539734242015921,0.79300180326847,0.8319813103625676,0.0723971697210019,240,,
0.7835785870602682,0.7539748172597699,0.7930040075535123,0.8319829851174565,0.07190010524108348,250,,
0.7845267831226328,0.7539759438710057,0.800804613592202,0.8319816828291513,0.07139527962429718,260,,
0.7853640108362319,0.7539769212684077,0.800805992276951,0.831982945955688,0.07090807961939719,270,,
0.7861987061822348,0.7539777772995194,0.8008070620084595,0.8319829196824644,0.07046239848424522,280,,
0.7869294736527898,0.7539786576731933,0.8008086810163229,0.831983658217599,0.07001643362843303,290,,
0.7877038238690492,0.7539809162824131,0.800809424364482,0.8319847147460764,0.0695975362871584,300,,
0.7939182258275898,0.7618072755426294,0.8086131740105539,0.8397776675458506,0.06585914181380426,400,,
0.7983893832394959,0.7696224703634597,0.8086200166811529,0.8397805659474858,0.06304624845462115,500,,
0.8017733828544686,0.777433189639624,0.8086220587908551,0.8397822938422957,0.060908402743955,600,,
0.8044316022440834,0.7774383363755232,0.8164204167880386,0.839786597594815,0.059316578481396195,700,,
0.8065415346324991,0.7774408532604797,0.8164231581076641,0.8475818930428549,0.058168863416124754,800,,
0.8083077215944552,0.7852477995135408,0.8164231570871081,0.8475850955167965,0.05733748932435994,900,,
0.8098775396269965,0.7852474594687506,0.816425472810082,0.8475908670280556,0.05676822915114032,1000,,
,,,,,,,
NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,distance,time,
0.7018135343622242,0.6329327179524263,0.7110185772563364,0.7889393895984805,0.10932631032786069,10,2021,58948
0.7153535455414544,0.6601910475725871,0.7304907227718215,0.7851289007671816,0.10009346357023974,20,,
0.7273287243764383,0.6798587884472275,0.7422798827167861,0.7889453092721619,0.0932828841809582,30,,
0.7380815325375454,0.6955178827947268,0.7578833065047058,0.8045046060203548,0.0878618896641226,40,,
0.744995347057449,0.695542260543689,0.757915534534325,0.8045143406291724,0.08447584588789404,50,,
0.7502410304132283,0.7070938050397363,0.7617475245821501,0.8085465355888612,0.08241719319592436,60,,
0.7535741346551578,0.7149090384436319,0.7695531153095758,0.8085491560010566,0.08100130535644488,70,,
0.7561105287485979,0.7149105033647526,0.7695573282441779,0.8085520821867728,0.08003616937940683,80,,
0.7585844966873974,0.7227244883160114,0.7695610454546756,0.8163551862619751,0.0790868353362009,90,,
0.7604307061590104,0.7227261851885005,0.777364678638443,0.8163579168025527,0.07845161955376755,100,,
0.7620979090081081,0.7227277082393496,0.7773677109495437,0.8163589400410598,0.07781614621957098,110,,
0.763411339160068,0.7305414812057582,0.7773697730710245,0.8163606515792842,0.0773121333428737,120,,
0.7647018608279144,0.7305425590895301,0.7773720330355998,0.8163615052646762,0.07679925561766965,130,,
0.7660330360485753,0.7305437301163439,0.7773740972746653,0.8163633476913886,0.07635721985148883,140,,
0.7671938764857257,0.730545133888258,0.7773765419215681,0.8163660475872687,0.0758430403197665,150,,
0.7683580736583865,0.7305460708190076,0.7851775170053906,0.8163665871613682,0.07533835585391863,160,,
0.7693855394073591,0.7383567392106982,0.7851790133365592,0.8163668013969708,0.07482603862104728,170,,
0.7704213763247414,0.7383573902115222,0.7851803207174715,0.8241697002453342,0.07445333575856958,180,,
0.7714444420564597,0.7383579282876852,0.7851820747190476,0.8241698700607551,0.07396128007627222,190,,
0.772371986876537,0.7383609793440481,0.7851840565010035,0.8241706145187478,0.07352508234291028,200,,
0.773289959409146,0.7383608771705057,0.785184558763348,0.8241720686607641,0.07309707864960475,210,,
0.7741132441129056,0.7383605504964471,0.7851864759016215,0.8241735205629932,0.07269277117334837,220,,
0.774955837410514,0.746158868629589,0.7851880330429315,0.8241753176671622,0.07232957684305061,230,,
0.7757355245338442,0.7461609713302894,0.785189071167066,0.8241755653476945,0.07193587762282841,240,,
0.7764977525777064,0.746160233028175,0.7929895583455655,0.824176335161079,0.07155172219999836,250,,
0.7772603699073625,0.7461603547825838,0.7929908831087249,0.8241773409138183,0.07117108958479205,260,,
0.7779763804065969,0.7461612178766776,0.7929909765987266,0.8241782206941712,0.07078909802022132,270,,
0.7786448722446064,0.7461627573231779,0.7929933070458858,0.8241786167745447,0.07045294583091666,280,,
