2018,HumanEdge,,,,,,type,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
120,0.7519925951770728,0.6798188891997127,0.7735106717514882,0.8359149418081552,0.10728681320008171,,,0.7276057537564068,0.6641548705271777,0.7422477888555018,0.8046670478383054,0.10852935746973236,
130,0.7542084229852238,0.6954406855576839,0.773518203852314,0.8359141546682294,0.10638544113110517,,,0.7288605737217794,0.6641519389906954,0.7422475216190059,0.8046810032810433,0.1082024036277015,
140,0.7540697323932777,0.695439228822711,0.773514039788698,0.8359166989930458,0.10648574703912253,,,0.7278760674098101,0.6601713440692709,0.7426680971324278,0.8085966549069478,0.10811630372436636,
150,0.7568410619024241,0.6954441463689746,0.7735249848074345,0.8359229131372364,0.1055457051732021,,,0.7298829268729239,0.6641579224260172,0.7422506195986357,0.820247172876622,0.10784698664192777,
160,0.7572114322551355,0.6954409667738138,0.7735213800373981,0.8359274535354877,0.10553940532895577,,,0.729118438299677,0.6641515588358323,0.7422415049839239,0.8202479271961638,0.10786756097816115,
170,0.759738701006426,0.6954481522105606,0.7735271087037747,0.8359354861203928,0.10505996676258327,,,0.7308555454934432,0.664156324322359,0.7422442043270163,0.8202590023797984,0.10787932083120062,
180,0.7603211278589638,0.6954524672340076,0.7735275465869716,0.8359352453240781,0.10454463999523325,,,0.7308274192098226,0.6641621244227917,0.7422442284135902,0.8202537669601491,0.10754411553811288,
190,0.7624383875525262,0.6954503361965971,0.7891469026818055,0.8359449405999556,0.10417001059405716,,,0.7323583034061036,0.6641576550712492,0.7422453561016729,0.8202568197144641,0.10760891029791805,
200,0.7628243378630342,0.6954568547351161,0.7891444055354412,0.8359458433320901,0.10390215735543591,,,0.7321284484997759,0.6641612302422922,0.742245706197823,0.8202582537973827,0.10752058332413704,
210,0.7649405913229921,0.7110801471232192,0.7891515736425585,0.8515234903602692,0.10338661410027469,,,0.7337128705636506,0.6641625142057064,0.757870475492504,0.8202687826104783,0.10741354466777815,
220,0.7652628315831987,0.7110806017261073,0.7891504105878063,0.8515242245105104,0.1033333683695869,,,0.733621945007819,0.6641587760859246,0.7578693933478137,0.8202618595196086,0.1073883868369184,
230,0.766523592822538,0.7110816223844292,0.7891535487826943,0.8515354427336218,0.10289112356556379,,,0.7343235779667143,0.6641659352272962,0.7578645170473461,0.8202696619426435,0.10733466235152608,
240,0.7673356340481801,0.7110814423390612,0.7891546292918904,0.8515354596285766,0.10270200419820226,,,0.7350799343905137,0.6641665027676693,0.7578643700495277,0.8202741175854187,0.10735141717407612,
250,0.7681135922420363,0.7110834445422487,0.7891562283516343,0.8515378028923373,0.10233727979948719,,,0.7352083415682669,0.6641617774112445,0.7578693035564723,0.8202742449710644,0.10725234632626703,
260,0.7687216840987473,0.7110789080785407,0.7891575842559885,0.8515418165803987,0.10204747386395631,,,0.7354935399417,0.6641602213551562,0.7578707650197176,0.8202735593307712,0.10715137520503039,
270,0.769581027247393,0.7110836325464353,0.7891572977772369,0.8515442407393427,0.10182592126452604,,,0.7359387355179583,0.664167375815647,0.7578681442363311,0.8202754681936071,0.10729102169933731,
280,0.7703312822885889,0.711084596769392,0.7891596610907067,0.8515499097579184,0.10152443780085599,,,0.7365307876051115,0.6641714623791528,0.7578680081714931,0.8202755316813888,0.10707452835325136,
290,0.770773119540084,0.7110869650274726,0.7891589530687776,0.8515512227383836,0.10128893250973048,,,0.7364124131494975,0.6641706461923427,0.757865367429516,0.8202760822067408,0.10715240792994915,
300,0.7719916899982896,0.7110849156384405,0.7891639238070314,0.8515550605237278,0.10097532775778165,,,0.737483038708655,0.6641739023394515,0.7578716665677755,0.8202773116956571,0.10713980643208958,
400,0.7778156927459837,0.7267194969179209,0.8047883842854651,0.8515807768847495,0.09879801875148395,,,0.7412593894393351,0.679792639375746,0.7578742966960962,0.8202985882841017,0.10702762974412203,
500,0.7819525772915584,0.7267278308352949,0.8047988295456786,0.8516064392066147,0.09722968041579051,,,0.7443681999857008,0.6798008577372995,0.7578796055374978,0.8203083948902663,0.1068555811837243,
600,0.7853903147885758,0.7267307560406514,0.804800474124864,0.8516193613988915,0.09610433584474591,,,0.7473139378507009,0.6798056521407418,0.7735128020454544,0.835899443097191,0.10671123453226056,
