distance,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
170,0.9993996620178223,0.753273964372361,1.6918874462135136E-4,0.7129048180065,0.767585637126692,0.8105356011833534,0.08218003098651354
180,0.9994094967842102,0.7546423822067779,0.0020120723638683558,0.712904848044854,0.7714921173174561,0.8105358659983137,0.0818942146604961
190,0.9993706941604614,0.756170350077444,6.222775555215776E-4,0.7168081085824426,0.7714918547648607,0.8144404674074937,0.08145009680191803
200,0.9993894696235657,0.7576637066513818,8.991907234303653E-4,0.7168101822464972,0.771493333020655,0.8144407471869336,0.08100937562597835
210,0.9993591904640198,0.7589512697167351,6.788866012357175E-4,0.7207159621192885,0.7753977716471919,0.8144416433576863,0.08063267266253991
220,0.9994310140609741,0.7602612411547699,5.379235954023898E-4,0.7207144129010494,0.7753983283910495,0.81444112550335,0.08020726702656453
230,0.9994017481803894,0.7614299675730005,7.390982937067747E-4,0.720717764213098,0.7753976070876409,0.8183485430652775,0.07986326438345916
240,0.9993926286697388,0.7625651203833119,7.993605104275048E-4,0.7246244369576401,0.7793029083907134,0.8183487543083144,0.07948639727421018
250,0.9993429780006409,0.7637299215114047,0.0010810811072587967,0.7246251439723952,0.7793040712933256,0.8183488427983061,0.07910800173422615
260,0.9995123147964478,0.7648516077808176,1.9080328638665378E-4,0.7285323197460334,0.7793030366919895,0.8183490507566505,0.07872835329340962
270,0.9994117617607117,0.765908582582412,0.0017574692610651255,0.7285329461487026,0.7793025941033166,0.8183506616722875,0.07834696545038204
280,0.9993752241134644,0.7668505970951003,7.765985210426152E-4,0.7285336417910727,0.7832112045539416,0.8222550118692643,0.07802513360306641
290,0.9993962645530701,0.7678059365433327,8.677327423356473E-4,0.7324401786719722,0.7832109040197981,0.8222560339223463,0.07766809061346643
300,0.9995007514953613,0.7687076902722365,3.0835645156912506E-4,0.7324409453797271,0.7832101526556503,0.8222559830267056,0.07734711618400361
400,0.9993375539779663,0.7762161687787265,3.124023787677288E-4,0.740249878302051,0.7910232386677294,0.8261617830358061,0.07443215799481737
500,0.9993224740028381,0.7816851853959107,0.0030581040773540735,0.7480525376183608,0.7949284193196944,0.8300654594909213,0.07222629975905641
600,0.9994051456451416,0.7860435975697582,0.006092655472457409,0.7519608836319881,0.7988353451628403,0.8339711510300057,0.07049006643232296
700,0.9992960095405579,0.7895973026522831,0.002465078141540289,0.7558837260453629,0.8027403407542171,0.83787714433934,0.06920371392907668
800,0.9992260336875916,0.7928199940325453,0.00176623382139951,0.7597882238633736,0.8066459359065932,0.8378789390575396,0.06806742179704595
900,0.9992470145225525,0.7957278044748037,0.002457377268001437,0.7636883873909677,0.8066468425760448,0.8417874365715734,0.06724422091484612
1000,0.9992945194244385,0.7984810669457287,5.361930234357715E-4,0.7675950048829835,0.8105477499130447,0.8456898757022403,0.06643567678711498
,,,,,,,
distance,EVI_Max,EVI_Mean,EVI_Min,EVI_P25,EVI_P50,EVI_P75,EVI_StdDev
10,1,0.3881696342306447,3.6788739726640023E-6,0.308615655835959,0.37889768660909057,0.4570008031422817,0.11145063993383823
20,1,0.39243273356858505,3.6788739726640023E-6,0.3086189426346317,0.38670873336399947,0.4648100666918144,0.11187529564032112
30,1,0.39740849218747054,1.2649901946232972E-6,0.3164311469117861,0.3867099122704405,0.4726235291834937,0.11277560261638826
40,1,0.4018222516691655,7.497398362730308E-7,0.3242421859840017,0.3945209607479506,0.47262600286243106,0.11373742452910612
50,1,0.4054606658470343,1.8747656542932668E-4,0.3242451865994051,0.3945218081201068,0.4804402837878406,0.1145251401324036
60,1,0.4081946902210127,1.9185935529391187E-4,0.3242499171546382,0.4023312454127796,0.4804402617929569,0.11537915624031493
70,1,0.41035644284611317,1.792243171553568E-4,0.3320580262660156,0.402334911759153,0.48825264460739576,0.11602269893905473
80,1,0.4125114385135196,9.797389975310856E-5,0.33205750215123087,0.4023350297781507,0.48825123642303236,0.1167228181675006
90,1,0.4145261902894304,4.922116998814542E-5,0.33206189589437435,0.40233287712340726,0.4882549539649016,0.11754992258867349
100,1,0.41646112837548127,2.530792336640003E-4,0.3320604403690053,0.41014551214552164,0.49606495630762587,0.11837524753353848
110,1,0.4180201137799326,1.3624737667472173E-4,0.3320608747878753,0.41014499662073434,0.49606560302221325,0.11915236342412326
120,1,0.4193664179091029,1.3076427140806837E-4,0.33206189294106553,0.4101466320054183,0.4960665715769946,0.11982897588143228
130,1,0.42076470862429244,1.864080617579927E-4,0.3320602682112702,0.41014635064472815,0.4960660133804847,0.1205196410727128
140,0.9999874558837847,0.4220985704415548,1.6760811120648854E-4,0.3378974831485093,0.41210613355973585,0.5019448892619923,0.12127409906240137
